AÑO/MES/DÍA,HORA,TEMPERATURA(°C),PRECIPITACIÓN(mm/hora),HUMEDAD(%),DIRECCIONDELVIENTO(°),VELOCIDADDELVIENTO(m/s)
2015/05/01,00:00,22.3,0.0,75,80,0.0
2015/05/01,01:00,22.3,0.0,76,81,0.1
2015/05/01,02:00,23.0,0.0,75,214,1.3
2015/05/01,03:00,22.1,0.0,80,211,1.1
2015/05/01,04:00,21.6,0.0,81,212,2.2
2015/05/01,05:00,20.1,0.0,91,220,2.5
2015/05/01,06:00,19.6,0.0,93,218,1.2
2015/05/01,07:00,20.1,0.0,91,218,1.1
2015/05/01,08:00,22.5,0.0,80,218,1.5
2015/05/01,09:00,24.7,0.0,69,218,0.4
2015/05/01,10:00,24.5,0.0,70,214,3.6
2015/05/01,11:00,25.2,0.0,65,219,4.7
2015/05/01,12:00,26.2,0.0,61,196,3.9
2015/05/01,13:00,25.6,0.0,64,216,3.4
2015/05/01,14:00,25.5,0.0,64,210,4.1
2015/05/01,15:00,24.5,0.0,68,213,4.4
2015/05/01,16:00,24.4,0.0,72,219,3.3
2015/05/01,17:00,22.7,0.0,81,218,3.5
2015/05/01,18:00,22.5,0.0,78,214,3.5
2015/05/01,19:00,22.5,0.0,78,224,2.2
2015/05/01,20:00,22.4,0.0,75,295,0.2
2015/05/01,21:00,22.9,0.0,75,206,1.1
2015/05/01,22:00,22.1,0.0,79,158,0.0
2015/05/01,23:00,22.7,0.0,75,275,0.2
2015/05/02,00:00,22.6,0.0,75,195,0.9
2015/05/02,01:00,22.4,0.0,77,210,0.8
2015/05/02,02:00,20.8,0.0,87,216,1.0
2015/05/02,03:00,21.1,0.0,86,224,0.6
2015/05/02,04:00,20.9,0.0,89,227,0.3
2015/05/02,05:00,20.6,0.0,92,331,0.0
2015/05/02,06:00,20.9,0.0,91,189,0.7
2015/05/02,07:00,21.0,0.0,90,210,0.8
2015/05/02,08:00,21.5,0.0,86,211,1.5
2015/05/02,09:00,22.1,0.0,84,225,2.9
2015/05/02,10:00,23.1,0.0,79,206,3.8
2015/05/02,11:00,23.8,0.0,75,205,4.3
2015/05/02,12:00,26.2,0.0,61,196,3.9
2015/05/02,13:00,23.8,0.0,76,209,3.6
2015/05/02,14:00,23.5,0.0,78,214,5.3
2015/05/02,15:00,24.0,0.0,77,220,4.3
2015/05/02,16:00,23.4,0.0,75,226,3.3
2015/05/02,17:00,22.2,0.0,80,221,3.3
2015/05/02,18:00,21.4,0.0,84,215,3.6
2015/05/02,19:00,21.3,0.0,85,222,1.9
2015/05/02,20:00,21.0,0.0,86,213,3.3
2015/05/02,21:00,20.9,0.0,88,226,2.1
2015/05/02,22:00,21.0,0.0,87,229,2.0
2015/05/02,23:00,20.8,0.0,89,228,2.4
2015/05/03,00:00,20.5,0.0,90,71,0.6
2015/05/03,01:00,20.5,0.0,91,320,0.4
2015/05/03,02:00,20.5,0.0,90,212,2.1
2015/05/03,03:00,19.7,0.0,93,215,1.9
2015/05/03,04:00,19.7,0.0,94,207,2.9
2015/05/03,05:00,19.4,0.0,95,215,1.7
2015/05/03,06:00,19.3,0.0,96,223,0.4
2015/05/03,07:00,19.3,0.0,95,198,1.5
2015/05/03,08:00,19.7,0.0,94,21,0.3
2015/05/03,09:00,20.7,0.0,88,205,3.3
2015/05/03,10:00,20.8,0.0,87,190,2.2
2015/05/03,11:00,22.1,0.0,81,195,2.9
2015/05/03,12:00,26.2,0.0,61,196,3.9
2015/05/03,13:00,22.7,0.0,80,220,4.1
2015/05/03,14:00,23.6,0.0,75,220,3.4
2015/05/03,15:00,22.3,0.0,79,220,4.0
2015/05/03,16:00,22.5,0.0,79,215,3.4
2015/05/03,17:00,21.3,0.0,85,216,4.1
2015/05/03,18:00,20.7,0.0,87,216,3.7
2015/05/03,19:00,20.8,0.0,85,224,1.9
2015/05/03,20:00,20.5,0.0,86,232,1.9
2015/05/03,21:00,20.6,0.0,85,223,1.7
2015/05/03,22:00,20.4,0.0,87,211,2.8
2015/05/03,23:00,19.7,0.0,91,213,2.1
2015/05/09,00:00,20.6,0.0,85,233,1.2
2015/05/09,01:00,20.4,0.0,86,253,0.7
2015/05/09,02:00,20.7,0.0,83,219,0.8
2015/05/09,03:00,20.7,0.0,81,224,0.7
2015/05/09,04:00,20.7,0.0,82,203,1.2
2015/05/10,00:00,19.3,0.0,89,239,0.7
2015/05/10,01:00,19.4,0.0,89,213,1.0
2015/05/10,02:00,19.4,0.0,90,194,0.9
2015/05/10,03:00,19.8,0.0,87,192,0.6
2015/05/10,04:00,19.7,0.0,86,212,0.8
2015/05/10,05:00,19.8,0.0,84,246,0.2
2015/05/10,06:00,19.6,0.0,85,309,0.0
2015/05/10,07:00,20.0,0.0,83,274,0.4
2015/05/10,08:00,20.5,0.0,81,183,0.8
2015/05/10,09:00,20.8,0.0,78,186,0.5
2015/05/10,10:00,21.8,0.0,74,360,0.4
2015/05/10,11:00,22.7,0.0,69,272,0.5
2015/05/10,12:00,26.2,0.0,61,196,3.9
2015/05/10,13:00,22.7,0.0,70,205,2.4
2015/05/10,14:00,22.0,0.0,72,201,2.1
2015/05/10,15:00,21.7,0.0,77,197,1.3
2015/05/10,16:00,21.9,0.0,74,212,1.7
2015/05/10,17:00,20.7,0.0,81,223,1.6
2015/05/10,18:00,20.4,0.0,81,221,1.3
2015/05/10,19:00,20.2,0.0,83,226,1.2
2015/05/10,20:00,19.9,0.0,86,218,0.8
2015/05/10,21:00,19.8,0.0,86,225,0.6
2015/05/10,22:00,19.3,0.0,90,96,0.1
2015/05/10,23:00,19.5,0.0,89,214,1.3
2015/05/11,00:00,19.1,0.0,89,230,0.6
2015/05/11,01:00,19.1,0.0,89,235,0.7
2015/05/11,02:00,19.3,0.0,90,230,0.5
2015/05/11,03:00,19.4,0.0,90,204,0.2
2015/05/11,04:00,19.5,0.0,91,230,0.1
2015/05/11,05:00,19.5,0.0,90,223,0.7
2015/05/11,06:00,19.7,0.0,85,48,0.2
2015/05/11,07:00,20.5,0.0,81,31,0.6
2015/05/11,08:00,22.1,0.0,74,77,0.4
2015/05/11,09:00,23.3,0.0,69,258,0.8
2015/05/11,10:00,22.5,0.0,76,215,1.9
2015/05/11,11:00,24.5,0.0,62,222,2.1
2015/05/11,12:00,26.2,0.0,61,196,3.9
2015/05/11,13:00,24.5,0.0,59,217,2.3
2015/05/11,14:00,24.3,0.0,64,224,1.9
2015/05/11,15:00,22.6,0.0,74,218,2.2
2015/05/11,16:00,21.9,0.0,77,215,1.9
2015/05/11,17:00,20.9,0.0,78,214,2.0
2015/05/11,18:00,21.3,0.0,82,222,1.0
2015/05/11,19:00,20.7,0.0,80,217,1.1
2015/05/11,20:00,20.5,0.0,81,224,1.1
2015/05/11,21:00,20.3,0.0,84,259,0.8
2015/05/11,22:00,19.7,0.0,87,229,1.3
2015/05/11,23:00,19.7,0.0,87,241,1.4
2015/05/12,00:00,19.5,0.0,87,229,1.2
2015/05/12,01:00,19.4,0.0,88,231,1.2
2015/05/12,02:00,19.2,0.0,89,230,1.0
2015/05/12,03:00,19.1,0.0,89,251,0.5
2015/05/12,04:00,19.2,0.0,89,229,0.4
2015/05/12,05:00,19.2,0.0,90,214,0.8
2015/05/12,06:00,19.2,0.0,91,46,0.3
2015/05/12,07:00,19.3,0.0,89,217,0.9
2015/05/12,08:00,20.3,0.0,86,218,0.7
2015/05/12,09:00,22.1,0.0,73,215,1.0
2015/05/12,10:00,22.9,0.0,72,201,1.7
2015/05/12,11:00,22.7,0.0,73,217,2.6
2015/05/12,12:00,26.2,0.0,61,196,3.9
2015/05/12,13:00,23.1,0.0,66,215,2.4
2015/05/12,14:00,23.6,0.0,65,217,2.6
2015/05/12,15:00,23.2,0.0,67,219,2.4
2015/05/12,16:00,21.7,0.0,74,213,2.8
2015/05/12,17:00,20.6,0.0,80,216,1.9
2015/05/12,18:00,20.0,0.0,83,215,1.9
2015/05/12,19:00,19.9,0.0,84,219,1.4
2015/05/12,20:00,19.8,0.0,83,222,1.5
2015/05/12,21:00,19.6,0.0,87,220,1.4
2015/05/12,22:00,19.6,0.0,86,253,0.4
2015/05/12,23:00,19.4,0.0,87,220,1.4
2015/05/13,00:00,19.4,0.0,87,219,0.8
2015/05/13,01:00,18.8,0.0,89,234,0.4
2015/05/13,02:00,18.8,0.0,88,258,0.1
2015/05/13,03:00,19.1,0.0,85,214,1.0
2015/05/13,04:00,18.9,0.0,84,294,0.2
2015/05/13,05:00,18.6,0.0,86,36,0.1
2015/05/13,06:00,19.3,0.0,84,61,0.1
2015/05/13,07:00,19.7,0.0,82,224,0.8
2015/05/13,08:00,20.2,0.0,82,215,1.0
2015/05/13,09:00,21.2,0.0,77,225,0.8
2015/05/13,10:00,21.7,0.0,72,216,1.3
2015/05/13,11:00,22.8,0.0,72,231,0.9
2015/05/13,12:00,26.2,0.0,61,196,3.9
2015/05/13,13:00,22.9,0.0,72,221,1.5
2015/05/13,14:00,22.7,0.0,71,204,1.7
2015/05/13,15:00,23.2,0.0,66,213,1.9
2015/05/13,16:00,22.7,0.0,67,219,1.8
2015/05/13,17:00,21.9,0.0,73,223,1.7
2015/05/13,18:00,20.9,0.0,82,217,1.4
2015/05/13,19:00,20.4,0.0,82,228,1.2
2015/05/13,20:00,20.4,0.0,78,258,0.8
2015/05/13,21:00,20.4,0.0,83,213,1.2
2015/05/13,22:00,19.8,0.0,86,220,0.9
2015/05/13,23:00,19.9,0.0,85,215,1.2
2015/05/14,00:00,19.7,0.0,89,218,0.6
2015/05/14,01:00,19.8,0.0,88,221,1.0
2015/05/14,02:00,19.7,0.0,90,210,0.5
2015/05/14,03:00,19.6,0.0,90,16,0.1
2015/05/14,04:00,20.4,0.0,86,207,0.9
2015/05/14,05:00,19.6,0.0,91,218,0.9
2015/05/14,06:00,19.7,0.0,90,231,0.3
2015/05/14,07:00,20.0,0.0,89,215,0.8
2015/05/14,08:00,20.4,0.0,88,215,0.5
2015/05/14,09:00,21.4,0.0,83,205,0.8
2015/05/14,10:00,22.6,0.0,77,209,1.0
2015/05/14,11:00,23.4,0.0,72,203,1.1
2015/05/14,12:00,26.2,0.0,61,196,3.9
2015/05/14,13:00,22.8,0.0,77,210,2.2
2015/05/14,14:00,22.2,0.0,77,220,2.4
2015/05/14,15:00,22.3,0.0,75,220,2.0
2015/05/14,16:00,21.9,0.0,77,217,2.2
2015/05/14,17:00,22.5,0.0,70,225,0.7
2015/05/14,18:00,21.6,0.0,72,234,1.2
2015/05/14,19:00,21.4,0.0,72,232,0.8
2015/05/14,20:00,21.3,0.0,72,234,0.8
2015/05/14,21:00,21.1,0.0,73,329,0.4
2015/05/14,22:00,21.1,0.0,73,222,1.2
2015/05/14,23:00,20.6,0.0,76,231,0.6
2015/05/15,00:00,20.5,0.0,75,225,1.0
2015/05/15,01:00,20.2,0.0,77,228,0.9
2015/05/15,02:00,19.5,0.0,86,251,0.8
2015/05/15,03:00,19.3,0.0,86,253,0.7
2015/05/15,04:00,19.4,0.0,89,243,0.6
2015/05/15,05:00,18.9,0.0,90,235,1.0
2015/05/15,06:00,19.0,0.0,89,218,1.2
2015/05/15,07:00,18.8,0.0,89,288,0.3
2015/05/15,08:00,20.2,0.0,84,231,0.9
2015/05/15,09:00,20.8,0.0,81,215,1.9
2015/05/15,10:00,21.5,0.0,79,217,2.5
2015/05/15,11:00,22.7,0.0,71,222,1.9
2015/05/15,12:00,26.2,0.0,61,196,3.9
2015/05/15,13:00,21.8,0.0,72,217,2.2
2015/05/15,14:00,22.0,0.0,73,214,2.6
2015/05/15,15:00,21.5,0.0,72,215,2.1
2015/05/15,16:00,21.2,0.0,73,215,1.9
2015/05/15,17:00,20.7,0.0,78,216,1.8
2015/05/15,18:00,20.3,0.0,79,216,1.2
2015/05/15,19:00,20.6,0.0,78,220,1.2
2015/05/15,20:00,20.3,0.0,78,218,1.3
2015/05/15,21:00,20.2,0.0,80,216,1.1
2015/05/15,22:00,19.8,0.0,80,235,0.8
2015/05/15,23:00,19.7,0.0,82,71,0.3
2015/05/16,00:00,19.7,0.0,82,217,1.2
2015/05/16,01:00,19.4,0.0,86,218,0.9
2015/05/16,02:00,19.1,0.0,89,224,1.1
2015/05/16,03:00,19.3,0.0,91,231,0.8
2015/05/16,04:00,19.1,0.0,90,359,0.2
2015/05/16,05:00,19.1,0.0,90,64,0.1
2015/05/16,06:00,18.7,0.0,91,316,0.2
2015/05/16,07:00,19.1,0.0,90,204,0.8
2015/05/16,08:00,19.8,0.0,87,261,0.5
2015/05/16,09:00,20.9,0.0,82,77,0.2
2015/05/16,10:00,22.9,0.0,71,227,0.8
2015/05/16,11:00,21.1,0.0,82,217,2.1
2015/05/16,12:00,26.2,0.0,61,196,3.9
2015/05/16,13:00,22.9,0.0,72,218,1.4
2015/05/16,14:00,24.2,0.0,68,217,2.2
2015/05/16,15:00,22.8,0.0,72,214,2.3
2015/05/16,16:00,22.1,0.0,77,218,1.9
2015/05/16,17:00,22.3,0.0,74,219,2.0
2015/05/16,18:00,21.5,0.0,73,229,1.1
2015/05/16,19:00,21.3,0.0,71,240,1.2
